,Title,Artist,Rank,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
33,Chasin' You,Morgan Wallen,34,Chasin' You,If I Know Me,Morgan Wallen,2018-04-27,205453,79,0.631,0.657,0.631,0.591,0.0,0.11,-5.785,0.0277,97.074,4,0.489,False
34,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,35,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,2020-06-11,171374,83,0.767,0.234,0.767,0.481,0.0,0.269,-8.52,0.0803,150.076,4,0.761,True
35,No Guidance,Chris Brown Featuring Drake,36,No Guidance (feat. Drake),Indigo,Chris Brown,2019-06-28,260640,82,0.696,0.123,0.696,0.454,0.0,0.155,-6.756,0.153,92.928,4,0.136,True
36,My Oh My,Camila Cabello Featuring DaBaby,37,My Oh My (feat. DaBaby),Romance,Camila Cabello,2019-12-06,170746,80,0.724,0.018,0.724,0.491,1.29e-05,0.0887,-6.024,0.0296,105.046,4,0.383,False
37,Dynamite,BTS,38,Dynamite,Dynamite (DayTime Version),BTS,2020-08-28,199053,76,0.746,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737,False
38,Go Crazy,Chris Brown & Young Thug,39,Go Crazy,Slime & B,Chris Brown,2020-05-08,176960,82,0.755,0.316,0.755,0.578,0.0,0.25,-8.932,0.145,94.148,4,0.581,True
39,High Fashion,Roddy Ricch Featuring Mustard,40,High Fashion (feat. Mustard),Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,220486,79,0.831,0.269,0.831,0.499,0.0,0.3,-8.442,0.114,97.956,4,0.511,True
40,Laugh Now Cry Later,Drake Featuring Lil Durk,41,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2020-08-14,261492,85,0.761,0.244,0.761,0.518,3.47e-05,0.107,-8.871,0.134,133.976,4,0.522,True
41,Woah,Lil Baby,42,Woah,Woah,Lil Baby,2019-11-08,183011,71,0.882,0.0177,0.882,0.602,0.0,0.178,-5.554,0.245,142.959,4,0.43,True
42,Death Bed,Powfu Featuring beabadoobee,43,death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,173333,87,0.726,0.731,0.726,0.431,0.0,0.696,-8.765,0.135,144.026,4,0.348,False
43,Senorita,Shawn Mendes & Camila Cabello,44,Señorita,Señorita,Shawn Mendes,2019-06-21,190960,84,0.759,0.037,0.759,0.54,0.0,0.0945,-6.039,0.0287,116.947,4,0.75,False
44,HIGHEST IN THE ROOM,Travis Scott,45,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,86,0.598,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,4,0.0605,True
45,Bad Guy,Billie Eilish,46,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,87,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,0.562,False
46,Mood,24kGoldn Featuring iann dior,47,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,2020-07-24,140525,23,0.7,0.221,0.7,0.722,0.0,0.272,-3.558,0.0369,90.989,4,0.756,True
47,Rain On Me,Lady Gaga & Ariana Grande,48,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,2020-05-22,182200,80,0.672,0.021,0.672,0.855,0.0,0.323,-3.764,0.0397,123.056,4,0.646,False
48,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,49,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,86,0.823,0.114,0.823,0.586,0.0,0.193,-6.606,0.2,125.971,4,0.347,True
49,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,50,RITMO (Bad Boys For Life),RITMO (Bad Boys For Life),Black Eyed Peas,2019-10-12,221714,79,0.721,0.0334,0.721,0.716,0.00084,0.237,-7.037,0.0657,104.994,4,0.667,True
50,Heart On Ice,Rod Wave,51,Heart On Ice,PTSD,Rod Wave,2019-06-14,159669,30,0.733,0.0513,0.733,0.389,0.0,0.141,-8.468,0.0738,157.878,3,0.244,True
51,Nobody But You,Blake Shelton Duet With Gwen Stefani,52,Nobody But You (Duet with Gwen Stefani),Fully Loaded: God's Country,Blake Shelton,2019-12-13,194866,70,0.463,0.111,0.463,0.653,0.000136,0.172,-5.515,0.0273,143.912,4,0.233,False
52,Trampoline,SHAED,53,Trampoline,MELT,SHAED,2018-09-21,184060,69,0.689,0.488,0.689,0.412,0.00016,0.0659,-7.523,0.0301,126.754,4,0.537,False
53,Come & Go,Juice WRLD x Marshmello,54,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,205484,86,0.625,0.0172,0.625,0.814,0.0,0.158,-5.181,0.0657,144.991,4,0.535,True
54,Truth Hurts,Lizzo,55,Truth Hurts,Cuz I Love You (Deluxe),Lizzo,2019-05-03,173325,68,0.715,0.11,0.715,0.624,0.0,0.123,-3.046,0.114,158.087,4,0.412,True
55,If The World Was Ending,JP Saxe Featuring Julia Michaels,56,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,83,0.464,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,75.801,4,0.604,False
56,We Paid,Lil Baby & 42 Dugg,57,We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,2020-05-01,181929,78,0.926,0.135,0.926,0.542,0.0,0.0877,-5.064,0.293,135.14,4,0.564,True
57,Yummy,Justin Bieber,58,Yummy,Changes,Justin Bieber,2020-02-14,208520,74,0.676,0.345,0.676,0.506,0.0,0.118,-6.652,0.0958,145.842,4,0.497,False
58,One Man Band,Old Dominion,59,One Man Band,Old Dominion,Old Dominion,2019-10-25,186240,77,0.706,0.677,0.706,0.358,0.0,0.107,-8.331,0.0347,75.991,4,0.478,False
59,Got What I Got,Jason Aldean,60,Got What I Got,9,Jason Aldean,2019-11-22,178146,74,0.512,0.621,0.512,0.58,1.72e-05,0.513,-6.658,0.029,159.847,3,0.303,False
60,Sunday Best,Surfaces,61,Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,81,0.878,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,4,0.694,False
61,Godzilla,Eminem Featuring Juice WRLD,62,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,210800,87,0.808,0.145,0.808,0.745,0.0,0.292,-5.26,0.342,165.995,4,0.829,True
62,Bandit,Juice WRLD & YoungBoy Never Broke Again,63,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019-10-04,189322,83,0.474,0.0687,0.474,0.631,0.0,0.132,-5.884,0.343,180.051,4,0.425,True
63,Party Girl,StaySolidRocky,64,Party Girl,Party Girl,StaySolidRocky,2020-04-21,147800,77,0.728,0.749,0.728,0.431,0.0,0.0996,-9.966,0.0622,130.022,4,0.629,False
64,Die From A Broken Heart,Maddie & Tae,65,Die From A Broken Heart,Die From A Broken Heart,Maddie & Tae,2018-10-19,188290,68,0.607,0.363,0.607,0.514,0.0,0.258,-6.631,0.0323,75.978,4,0.414,False
65,Popstar,DJ Khaled Featuring Drake,66,POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,2020-07-17,200221,80,0.8,0.057,0.8,0.56,0.0,0.134,-4.818,0.261,163.071,4,0.45,True
66,All I Want For Christmas Is You,Mariah Carey,67,All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1994-11-01,241106,99,0.336,0.164,0.336,0.627,0.0,0.0708,-7.463,0.0384,150.273,4,0.35,False
67,One Of Them Girls,Lee Brice,68,One Of Them Girls,One Of Them Girls,Lee Brice,2020-04-10,188893,76,0.643,0.294,0.643,0.79,0.0,0.107,-6.079,0.0462,95.987,4,0.8,False
68,Hard To Forget,Sam Hunt,69,Hard To Forget,SOUTHSIDE,Sam Hunt,2020-04-03,204760,70,0.689,0.23,0.689,0.689,0.0,0.57,-5.517,0.045,130.069,4,0.664,False
69,One Margarita,Luke Bryan,70,One Margarita,One Margarita,Luke Bryan,2020-03-13,193426,68,0.641,0.0969,0.641,0.842,0.0,0.169,-4.872,0.0464,89.997,4,0.738,False
70,Panini,Lil Nas X,71,Panini,Panini,Lil Nas X,2019-09-13,114893,76,0.703,0.342,0.703,0.594,0.0,0.123,-6.146,0.0752,153.848,4,0.475,False
71,Hot,Young Thug Featuring Gunna,72,Hot (feat. Gunna),So Much Fun,Young Thug,2019-08-16,193026,76,0.855,0.063,0.855,0.651,0.0,0.0772,-8.044,0.235,111.997,4,0.559,True
72,I Hope You're Happy Now,Carly Pearce & Lee Brice,73,I Hope You’re Happy Now,Carly Pearce,Carly Pearce,2020-02-14,198688,73,0.591,0.168,0.591,0.815,8.68e-06,0.142,-4.725,0.0366,118.024,4,0.306,False
73,Emotionally Scarred,Lil Baby,74,Emotionally Scarred,My Turn,Lil Baby,2020-02-28,197529,75,0.585,0.0286,0.585,0.641,0.0,0.316,-4.269,0.133,88.284,4,0.266,True
74,Suicidal,YNW Melly & Juice WRLD,75,Suicidal (Remix) [feat. Juice WRLD],Suicidal (Remix) [feat. Juice WRLD],YNW Melly,2020-03-13,225857,79,0.655,0.474,0.655,0.441,0.0,0.099,-5.245,0.0629,139.957,4,0.273,True
75,The Bigger Picture,Lil Baby,76,The Bigger Picture,The Bigger Picture,Lil Baby,2020-06-12,252728,73,0.59,0.0127,0.59,0.618,0.0,0.244,-5.756,0.334,96.459,3,0.153,True
76,Only Human,Jonas Brothers,77,Only Human,Happiness Begins,Jonas Brothers,2019-06-07,183000,75,0.795,0.108,0.795,0.496,0.0,0.0645,-5.883,0.0722,94.01,4,0.874,False
77,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,78,The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,201600,81,0.49,0.0221,0.49,0.618,3.77e-06,0.259,-5.655,0.104,99.7,4,0.286,True
78,Sum 2 Prove,Lil Baby,79,Sum 2 Prove,Sum 2 Prove,Lil Baby,2020-01-10,205760,74,0.823,0.0174,0.823,0.552,0.0,0.122,-7.57,0.324,124.038,4,0.418,True
79,Stuck With U,Ariana Grande & Justin Bieber,80,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,2020-05-08,228482,87,0.597,0.223,0.597,0.45,0.0,0.382,-6.658,0.0418,178.765,3,0.537,False
80,Mood Swings,Pop Smoke Featuring Lil Tjay,81,Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,213333,84,0.48,0.487,0.48,0.602,0.0,0.0848,-6.335,0.368,179.798,4,0.269,True
81,You Should Be Sad,Halsey,82,You should be sad,Manic,Halsey,2020-01-17,205473,78,0.591,0.143,0.591,0.585,0.0,0.109,-6.35,0.0277,110.94,4,0.324,True
82,Dior,Pop Smoke,83,Dior,Meet The Woo,Pop Smoke,2019-07-26,216386,86,0.548,0.212,0.548,0.805,0.000389,0.408,-5.732,0.351,142.094,4,0.648,True
83,Supalonely,BENEE Featuring Gus Dapperton,84,Supalonely,STELLA & STEVE,BENEE,2019-11-15,223480,78,0.863,0.305,0.863,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,4,0.817,True
84,Even Though I'm Leaving,Luke Combs,85,Even Though I'm Leaving,What You See Is What You Get,Luke Combs,2019-11-08,225253,73,0.554,0.225,0.554,0.755,0.0,0.301,-6.04,0.0319,77.962,4,0.624,False
85,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",86,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,165977,81,0.716,0.233,0.716,0.537,0.0,0.157,-7.648,0.0514,129.979,4,0.28,True
86,Juicy,Doja Cat & Tyga,87,Juicy,Juicy,Doja Cat,2019-08-15,202333,62,0.786,0.0856,0.786,0.658,0.0,0.0689,-2.61,0.0661,170.037,4,0.458,True
87,Be Like That,Kane Brown With Swae Lee & Khalid,88,Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),Kane Brown,2020-07-10,191406,80,0.727,0.0469,0.727,0.626,2.58e-05,0.126,-8.415,0.0726,86.97,4,0.322,False
88,Homesick,Kane Brown,89,Homesick,Experiment Extended,Kane Brown,2019-11-01,205400,70,0.701,0.46,0.701,0.5,0.0,0.234,-8.82,0.0303,97.028,4,0.409,False
89,Rags2Riches,Rod Wave Featuring ATR Son Son,90,Rags2Riches (feat. ATR Son Son),Pray 4 Love,Rod Wave,2020-04-03,167183,24,0.904,0.294,0.904,0.252,0.0,0.104,-17.54,0.11,117.994,4,0.227,True
90,Bluebird,Miranda Lambert,91,Bluebird,Wildcard,Miranda Lambert,2019-11-01,209760,73,0.661,0.038,0.661,0.633,2.75e-06,0.124,-5.986,0.0348,81.984,4,0.613,False
91,Wishing Well,Juice WRLD,92,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,194621,85,0.65,0.00336,0.65,0.613,0.0,0.267,-6.13,0.128,149.972,4,0.0804,True
92,Does To Me,Luke Combs Featuring Eric Church,93,Does To Me (feat. Eric Church),What You See Is What You Get,Luke Combs,2019-11-08,223320,70,0.616,0.311,0.616,0.849,0.0,0.311,-4.897,0.0373,113.065,4,0.638,False
93,P*$$y Fairy (OTW),Jhene Aiko,94,P*$$Y Fairy (OTW),P*$$Y Fairy (OTW),Jhené Aiko,2020-01-17,181860,74,0.572,0.536,0.572,0.519,0.0,0.102,-7.092,0.212,128.331,4,0.35,True
94,ily,Surf Mesa Featuring Emilee,95,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa,2019-11-26,176546,82,0.674,0.0686,0.674,0.774,0.00188,0.393,-7.567,0.0892,112.05,4,0.33,False
95,More Than My Hometown,Morgan Wallen,96,More Than My Hometown,More Than My Hometown,Morgan Wallen,2020-04-17,216573,64,0.621,0.601,0.621,0.882,0.0,0.132,-5.01,0.0459,126.014,4,0.574,False
96,Lovin' On You,Luke Combs,97,Lovin' On You,What You See Is What You Get,Luke Combs,2019-11-08,194866,72,0.572,0.00165,0.572,0.949,0.000195,0.163,-4.865,0.06,118.974,4,0.53,False
97,Said Sum,Moneybagg Yo,98,Said Sum,Code Red,Moneybagg Yo,2020-09-18,155168,72,0.929,0.0185,0.929,0.667,0.0,0.1,-6.789,0.353,126.998,4,0.274,True
98,Slide,H.E.R. Featuring YG,99,Slide,Slide,H.E.R.,2019-09-27,238321,70,0.832,0.0807,0.832,0.469,8.26e-06,0.207,-9.141,0.339,97.023,4,0.197,True
99,Walk Em Down,NLE Choppa Featuring Roddy Ricch,100,Walk Em Down (feat. Roddy Ricch),Walk Em Down (feat. Roddy Ricch),NLE Choppa,2020-03-19,173288,75,0.867,0.268,0.867,0.744,0.0,0.0713,-5.171,0.227,84.005,4,0.645,True
