,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
30,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,85,0.704,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,4,0.243,False
31,Robbery,Death Race For Love,Juice WRLD,2019-03-08,240050,86,0.685,0.328,0.685,0.692,0.0,0.153,-5.122,0.0457,159.966,5,0.578,True
32,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,86,0.823,0.114,0.823,0.586,0.0,0.193,-6.606,0.2,125.971,4,0.347,True
33,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,2020-07-24,140525,23,0.7,0.221,0.7,0.722,0.0,0.272,-3.558,0.0369,90.989,4,0.756,True
34,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,86,0.598,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,4,0.0605,True
35,Party Girl,Fallin',StaySolidRocky,2020-07-15,147800,72,0.73,0.747,0.73,0.439,0.0,0.0988,-9.864,0.0609,130.09,4,0.615,False
36,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,165819,87,0.671,0.0769,0.671,0.529,0.000335,0.0856,-7.226,0.307,161.989,4,0.203,True
37,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,194621,85,0.65,0.00336,0.65,0.613,0.0,0.267,-6.13,0.128,149.972,4,0.0804,True
38,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,87,0.459,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,111.881,4,0.183,False
39,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,205484,86,0.625,0.0172,0.625,0.814,0.0,0.158,-5.181,0.0657,144.991,4,0.535,True
40,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,2020-06-24,227478,81,0.904,0.0631,0.904,0.723,0.0,0.185,-5.224,0.26,145.013,4,0.835,True
41,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2020-08-14,261492,85,0.761,0.244,0.761,0.518,3.47e-05,0.107,-8.871,0.134,133.976,4,0.522,True
42,Righteous,Legends Never Die,Juice WRLD,2020-07-10,242180,81,0.706,0.0417,0.706,0.625,0.0,0.129,-7.426,0.0314,142.948,4,0.225,True
43,Suicidal,Melly vs. Melvin,YNW Melly,2019-11-22,222997,80,0.735,0.334,0.735,0.369,0.0,0.126,-9.682,0.0688,140.004,4,0.235,True
44,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,88,0.841,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,4,0.43,True
45,Walk Em Down (feat. Roddy Ricch),Top Shotta,NLE Choppa,2020-08-10,173288,75,0.867,0.268,0.867,0.744,0.0,0.0713,-5.171,0.227,84.005,4,0.645,True
46,After Party,Heaven Or Hell,Don Toliver,2020-03-13,167915,83,0.629,0.00981,0.629,0.692,0.331,0.603,-8.045,0.0376,162.948,4,0.453,True
47,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,195428,82,0.8,0.25,0.8,0.658,0.0,0.111,-6.142,0.079,140.042,4,0.462,True
