,Unnamed: 0,Rank,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit,duration_sec
36,36,37,My Oh My (feat. DaBaby),Romance,Camila Cabello,2019-12-06,170746,80,0.724,0.018,0.491,1.29e-05,0.0887,-6.024,0.0296,105.046,4,0.383,False,170.746
37,37,38,Dynamite,Dynamite (DayTime Version),BTS,2020-08-28,199053,75,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737,False,199.053
38,38,39,Go Crazy,Slime & B,Chris Brown,2020-05-08,176960,82,0.755,0.316,0.578,0.0,0.25,-8.932,0.145,94.148,4,0.581,True,176.96
41,41,42,Woah,Woah,Lil Baby,2019-11-08,183011,71,0.882,0.0177,0.602,0.0,0.178,-5.554,0.245,142.959,4,0.43,True,183.011
43,43,44,Señorita,Señorita,Shawn Mendes,2019-06-21,190960,84,0.759,0.037,0.54,0.0,0.0945,-6.039,0.0287,116.947,4,0.75,False,190.96
45,45,46,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,88,0.701,0.328,0.425,0.13,0.1,-10.965,0.375,135.128,4,0.562,False,194.087
47,47,48,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,2020-05-22,182200,80,0.672,0.021,0.855,0.0,0.323,-3.764,0.0397,123.056,4,0.646,False,182.2
49,49,50,RITMO (Bad Boys For Life),RITMO (Bad Boys For Life),Black Eyed Peas,2019-10-12,221714,79,0.721,0.0334,0.716,0.00084,0.237,-7.037,0.0657,104.994,4,0.667,True,221.714
10,10,11,Butter,Butter,BTS,2021-05-21,164441,33,0.759,0.00323,0.459,0.0,0.0906,-5.187,0.0948,109.997,4,0.695,False,164.441
17,17,18,Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,2020-10-23,232533,82,0.487,0.191,0.65,0.0,0.0933,-5.195,0.0253,151.964,4,0.456,False,232.533
18,18,19,Go Crazy,Slime & B,Chris Brown,2020-05-08,176960,82,0.755,0.316,0.578,0.0,0.25,-8.932,0.145,94.148,4,0.581,True,176.96
24,24,25,Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,82,0.889,0.218,0.34,0.13,0.055,-7.773,0.0697,94.009,4,0.716,False,174.321
26,26,27,Fancy Like,Country Stuff,Walker Hayes,2021-06-04,161853,84,0.649,0.114,0.76,0.0,0.317,-6.487,0.0574,80.018,4,0.843,False,161.853
33,33,34,Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,2021-03-03,227395,38,0.713,0.0377,0.676,0.0,0.154,-5.483,0.027,99.048,4,0.721,False,227.395
34,34,35,Holy (feat. Chance The Rapper),Holy,Justin Bieber,2020-09-18,212093,81,0.673,0.196,0.704,0.0,0.0898,-8.056,0.36,86.919,4,0.372,False,212.093
35,35,36,On Me,On Me,Lil Baby,2020-12-04,135959,79,0.856,0.00327,0.564,0.0,0.134,-6.295,0.392,77.972,4,0.483,True,135.959
36,36,37,you broke me first,you broke me first,Tate McRae,2020-04-17,169265,89,0.667,0.785,0.373,0.0,0.0906,-9.389,0.05,124.148,4,0.0823,False,169.265
39,39,40,I Hope,Goldmine,Gabby Barrett,2020-06-19,210772,79,0.466,0.0951,0.536,0.0,0.114,-6.227,0.0429,75.998,4,0.377,False,210.772
40,40,41,Dynamite,BE,BTS,2020-11-20,199053,87,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737,False,199.053
41,41,42,Wockesha,A Gangsta’s Pain,Moneybagg Yo,2021-04-23,180930,76,0.582,0.129,0.537,0.0,0.0749,-9.229,0.619,82.103,4,0.771,True,180.93
42,42,43,You Right - Extended,Planet Her (Deluxe),Doja Cat,2021-06-27,246040,72,0.837,0.0158,0.567,0.00139,0.118,-6.709,0.0649,129.001,4,0.502,True,246.04
43,43,44,Beat Box,Beat Box,SpotemGottem,2020-04-20,110497,64,0.762,0.195,0.542,0.0,0.125,-6.251,0.35,159.954,4,0.201,True,110.497
47,47,48,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,2021-09-03,257604,91,0.803,0.000619,0.597,4.5e-06,0.323,-6.035,0.141,136.008,4,0.331,True,257.604
49,49,50,Whoopty,Whoopty,CJ,2020-08-20,123262,81,0.719,0.2,0.648,0.0,0.127,-7.6,0.125,140.201,4,0.66,True,123.262
